Efficiency,Speed (RPM),Torque (Nm)
0.955,2554.511287,167.3717887
0.955,2605.508329,168.5830324
0.955,2645.57652,169.188815
0.955,2683.460059,170.0972437
0.955,2724.986548,171.2074928
0.955,2770.155189,172.216892
0.955,2815.32383,173.2262912
0.955,2859.034971,174.0338942
0.955,2899.832711,175.0432451
0.955,2940.629918,175.850816
0.955,2973.413008,176.3556281
0.955,2995.997062,176.7594376
0.955,949.7234662,195.1689377
0.958,1430.022416,305.422248
0.958,1460.276097,314.6372567
0.958,1505.655788,328.1447199
0.958,1538.930088,336.4801601
0.958,1572.203887,344.6253017
0.958,1605.477585,352.7323837
0.958,1638.750982,360.7252866
0.958,1672.023877,368.527891
0.958,1705.296973,376.4066149
0.958,1738.57037,384.3995178
0.958,1771.839552,390.7939135
0.958,1801.075506,396.1860261
0.958,1838.375005,402.4789737
0.958,1871.643084,408.4547128
0.958,1904.910861,414.3162728
0.958,1938.178738,420.2158925
0.958,1971.447318,426.38193
0.958,2004.716701,432.8524451
0.958,2037.982973,438.1431097
0.958,2071.249546,443.5479533
0.958,2098.46779,448.0229863
0.958,2140.807035,454.8905097
0.958,2174.073808,460.3714728
0.958,2207.340482,465.8143761
0.958,2240.606252,470.9147422
0.958,2273.870516,475.4442129
0.958,2307.133677,479.5550269
0.958,2340.397039,483.7419603
0.958,2373.6604,487.9288937
0.958,2406.923862,492.1538868
0.958,2440.187425,496.4169396
0.958,2473.450485,500.489694
0.958,2506.712261,504.0752842
0.958,2539.973796,507.5695312
0.958,2573.234649,510.8049722
0.958,2606.495502,514.0404132
0.958,2639.756154,517.1997349
0.958,2673.017006,520.4351759
0.958,2706.277658,523.5944976
0.958,2739.538411,526.7918789
0.958,2772.797959,529.5325439
0.958,2806.057106,532.1209702
0.958,2839.315349,534.3668592
0.958,2872.574429,536.9299123
0.958,2905.834144,539.7340101
0.958,2939.093291,542.3224363
0.958,2972.351936,544.7205641
0.958,2992.004799,546.1480195
0.958,1398.781886,295.3206386
0.958,1369.605173,286.8056466
0.958,1344.204864,278.2697758
0.958,1316.737554,268.7715361
0.958,1294.181313,259.9079411
0.958,1273.989593,250.2633378
0.958,1254.098648,240.1096707
0.958,1239.173667,232.3131087
0.958,1230.341373,224.516614
0.958,1238.127226,217.3758137
0.958,1251.75402,210.2420514
0.958,1277.594232,204.1962933
0.958,1308.695501,197.8437582
0.958,1337.052838,191.6027693
0.958,1367.751524,185.3408856
0.958,1411.402956,183.6607486
0.958,1456.966929,181.6528772
0.958,1495.73598,180.6700385
0.958,1534.279417,180.056794
0.958,1580.905396,179.7923148
0.958,1637.551358,179.4442638
0.958,1689.791911,179.2705023
0.958,1739.514825,179.096713
0.958,1792.385247,179.0972965
0.958,1840.221311,179.4465005
0.958,1884.279996,179.4469868
0.958,1935.892519,179.7962325
0.958,1984.987402,180.1454504
0.958,2036.600384,180.6690341
0.958,2086.953627,180.8439279
0.958,2142.343527,181.5418913
0.958,2201.510346,182.4142345
0.958,2253.124248,183.2864944
0.958,2304.73677,183.63574
0.958,2363.904508,184.8567593
0.958,2411.74287,186.0776536
